Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
DIRSTUDIO-94,2007-05-21 21:27:41 +0000,2007-05-03 23:20:37 +0000,2013-09-16 14:36:10 +0000,31123766fefcd2ad720a568bb6559f4a078c2fb0,directory-studio
DIRSTUDIO-96,2007-07-02 22:22:54 +0000,2007-05-10 10:25:40 +0000,2014-05-21 21:26:10 +0000,9fa890eb7b3dcfd031279b346bbcd97a6944308f,directory-studio
DIRSTUDIO-921,2013-06-07 15:47:45 +0000,2013-06-04 17:18:19 +0000,2013-06-07 15:22:46 +0000,4b47c4bf1d28bf40af52ff995d80c412e490ef24,directory-studio
DIRSTUDIO-808,2012-04-27 12:49:14 +0000,2012-04-27 12:21:23 +0000,2012-04-27 12:55:21 +0000,ef89043708868e382e32fd48b7f7c515a9711d8d,directory-studio
DIRSTUDIO-802,2012-04-10 12:47:32 +0000,2012-04-05 17:14:53 +0000,2012-04-10 12:46:42 +0000,853836f85d2effdf6c45daedfb4d95b30007b823,directory-studio
DIRSTUDIO-82,2007-04-22 20:19:14 +0000,2007-04-13 08:15:34 +0000,2012-10-16 14:40:55 +0000,974fe252384c3c44133d5b94435a75d3c7679e1d,directory-studio
DIRSTUDIO-83,2007-04-23 14:58:46 +0000,2007-04-16 07:57:27 +0000,2014-06-08 14:04:46 +0000,1a7d1591637158df3011d1dbb3b4a5c8368672ca,directory-studio
DIRSTUDIO-84,2007-04-22 22:14:46 +0000,2007-04-17 17:22:25 +0000,2012-11-22 17:18:22 +0000,50e448b9545e21f4c95d144ec60df1f3ef4f9e26,directory-studio
DIRSTUDIO-80,2007-07-05 12:54:56 +0000,2007-04-12 16:45:27 +0000,2012-10-15 14:51:51 +0000,7db6059566059e4a1e4d06473a9162c8dc8f2f65,directory-studio
DIRSTUDIO-88,2007-04-23 13:26:04 +0000,2007-04-23 13:11:29 +0000,2013-03-21 14:32:21 +0000,5aee4b92f7fd75ac0c2c39c00dba1c0d068f114e,directory-studio
DIRSTUDIO-89,2008-07-13 20:30:45 +0000,2007-04-23 17:44:13 +0000,2013-06-06 16:12:27 +0000,5b07bb2c80836ddb648903ccedb2c0797f8a5e6a,directory-studio
DIRSTUDIO-919,2016-02-22 19:16:47 +0000,2013-05-31 12:34:26 +0000,2016-02-22 19:16:04 +0000,5b3d56d348949d44a3ba1dbe05eacf81daec5213,directory-studio
DIRSTUDIO-918,2013-05-31 11:18:56 +0000,2013-05-31 10:02:28 +0000,2013-05-31 11:17:30 +0000,f19b759396bfe0c3505a6c1b91b5d8b7b94f3e19,directory-studio
DIRSTUDIO-912,2013-05-31 11:18:32 +0000,2013-05-17 07:45:22 +0000,2013-05-31 11:16:30 +0000,8a865ff9f99c318ced2a93cad2574a3634a8a8f3,directory-studio
DIRSTUDIO-905,2013-04-30 11:36:07 +0000,2013-04-30 11:12:09 +0000,2013-04-30 11:12:59 +0000,c55aaabf22cf95ab066caab6db8a0987c05ca73a,directory-studio
DIRSTUDIO-904,2013-04-29 15:44:25 +0000,2013-04-28 13:24:19 +0000,2013-04-29 15:38:43 +0000,6cf96ef3f5a8c14b65154192a0cb7220277d2a28,directory-studio
DIRSTUDIO-903,2013-04-17 15:39:17 +0000,2013-04-16 21:20:08 +0000,2013-07-05 14:18:57 +0000,7c0871501ddd02750ae52edbf9795532a48ed4f7,directory-studio
DIRSTUDIO-902,2013-04-12 15:24:14 +0000,2013-04-12 15:20:15 +0000,2013-04-12 15:50:58 +0000,8689c51ea393503e880607511f1b339ade33c09a,directory-studio
DIRSTUDIO-1095,2016-06-05 21:36:27 +0000,2016-02-23 23:03:28 +0000,2016-06-05 20:41:25 +0000,e47ffa2c028d10732def0830f19d23e092f4f649,directory-studio
DIRSTUDIO-1090,2016-02-20 09:15:23 +0000,2016-02-08 13:49:10 +0000,2016-02-20 09:01:55 +0000,f1c13c6618ed5a2804f1453ab1ee1e86d7c6e2fa,directory-studio
DIRSTUDIO-1085,2016-02-15 23:13:21 +0000,2016-01-20 14:08:30 +0000,2016-02-15 23:12:24 +0000,7b347f4843fffb3718592dabe190c3a2a8c74965,directory-studio
DIRSTUDIO-1080,2016-01-10 18:41:30 +0000,2016-01-04 20:38:58 +0000,2016-01-10 18:39:19 +0000,b28c3202a8cd56913d59757110d1a3f185bf4b50,directory-studio
DIRSTUDIO-48,2007-09-18 09:34:07 +0000,2007-01-31 15:00:27 +0000,2009-10-28 10:43:07 +0000,667fa70eb905683149bfcf0e4c3a7385a28e2473,directory-studio
DIRSTUDIO-1197,2018-11-10 15:42:24 +0000,2018-10-26 11:32:59 +0000,2018-11-10 16:39:18 +0100,2f6f71de1d4495ca8eba125f4ab3e6a0b9b6d6e6,directory-studio
DIRSTUDIO-1077,2015-12-06 14:08:50 +0000,2015-11-19 14:06:14 +0000,2015-12-06 14:03:01 +0000,4c855116d88addb20882ef52590f628b78813c37,directory-studio
DIRSTUDIO-1195,2018-10-12 16:11:42 +0000,2018-09-28 20:53:07 +0000,2018-10-10 17:06:13 +0200,68a280ce69348271731ca33b2be3f4a9a01522dd,directory-studio
