Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
LOG4J2-298,2013-07-02 05:09:58 +0000,2013-06-29 21:11:04 +0000,2013-07-02 05:08:35 +0000,990fecc68642cb201ba8ae324248c41c40db26e0,logging-log4j2
LOG4J2-297,2013-07-02 05:20:48 +0000,2013-06-29 19:56:27 +0000,2013-07-02 05:19:44 +0000,56738b1847cb719d0ae7ac76fba5e25ba4ef42c7,logging-log4j2
LOG4J2-296,2013-07-02 05:47:39 +0000,2013-06-28 21:50:44 +0000,2013-07-02 05:45:35 +0000,6b324098708f47bd4a915a4d72f972a9e9c7bde7,logging-log4j2
LOG4J2-295,2013-06-30 00:42:21 +0000,2013-06-28 07:16:56 +0000,2013-06-30 00:40:33 +0000,0c9679947dbd183700ef398c5d428dcf138b0176,logging-log4j2
LOG4J2-293,2013-09-02 04:22:23 +0000,2013-06-23 14:34:00 +0000,2013-09-13 01:01:10 +0000,9a9672261b103d41f6ee079fa26fc6d57e2a197f,logging-log4j2
LOG4J2-292,2013-06-30 00:43:22 +0000,2013-06-22 03:59:55 +0000,2013-06-30 00:40:33 +0000,0c9679947dbd183700ef398c5d428dcf138b0176,logging-log4j2
LOG4J2-291,2013-07-17 22:40:30 +0000,2013-06-21 15:07:58 +0000,2013-07-17 23:48:55 +0000,ead2e69504ce1b5e98bcdc0c9a53588fa070d694,logging-log4j2
LOG4J2-2527,2018-12-30 18:46:03 +0000,2018-12-27 21:32:05 +0000,2018-12-30 13:43:05 -0500,8cd0ef5b294319c579ae1f692eff3c9535aaf564,logging-log4j2
LOG4J2-1434,2016-06-19 00:04:46 +0000,2016-06-16 04:36:47 +0000,2016-07-02 21:19:49 +0900,bd077fc87c6b6b9e1735e4f9bc6b7b35398fe5cf,logging-log4j2
LOG4J2-1676,2016-11-18 05:45:59 +0000,2016-11-08 07:10:41 +0000,2016-11-17 21:44:59 -0800,b5662cf22d35c7fe74d21a7365d8b0fb3132255a,logging-log4j2
LOG4J2-289,2013-06-24 20:53:00 +0000,2013-06-18 23:36:27 +0000,2013-06-23 08:23:04 +0000,38f37dde74d8ec6e66053e77f734ad314230e64e,logging-log4j2
LOG4J2-283,2013-06-15 16:17:46 +0000,2013-06-15 16:03:17 +0000,2013-06-15 16:05:27 +0000,c4efb680710ba5bd57f44bcb4cdb7a57aa4c34d3,logging-log4j2
LOG4J2-280,2013-07-23 21:28:25 +0000,2013-06-11 17:01:29 +0000,2013-07-23 21:26:19 +0000,01357f6a7d76b088b27d6c569756120f2507cedc,logging-log4j2
LOG4J2-2514,2018-11-24 04:21:02 +0000,2018-11-24 04:03:02 +0000,2018-11-23 21:24:35 -0700,a356213d94b76060c2558c3d6ba4b2a28f358583,logging-log4j2
LOG4J2-1422,2016-06-10 17:37:53 +0000,2016-06-10 17:08:48 +0000,2016-06-18 09:05:20 +0900,a9b662e51351d1fd4af4f607c140c638f8d877f4,logging-log4j2
LOG4J2-2301,2018-05-01 02:03:36 +0000,2018-04-02 15:34:36 +0000,2019-01-14 18:02:09 -0500,b3a910d5ee43e33d6c8d330bbbde2fcde384fe51,logging-log4j2
LOG4J2-2543,2019-02-03 04:35:01 +0000,2019-02-03 04:28:50 +0000,2019-02-02 22:53:44 -0700,bb6ec8abba905adc92f67ce22be3e998af262294,logging-log4j2
LOG4J2-2542,2019-02-02 06:45:33 +0000,2019-02-02 06:43:09 +0000,2019-02-01 23:51:10 -0700,cea5efb1209de98461037cd6debd0f2b44da75ba,logging-log4j2
LOG4J2-1452,2016-09-18 10:37:53 +0000,2016-06-29 19:38:18 +0000,2016-07-01 00:26:06 +0900,5b1c7366d345aa3e8a9941c5beb6e3ba509a08aa,logging-log4j2
LOG4J2-2307,2018-04-07 14:03:18 +0000,2018-04-05 03:06:36 +0000,2018-04-07 10:01:53 -0400,0738cf970c111a07a7307549b8c16af4d44af8a4,logging-log4j2
LOG4J2-1216,2017-10-12 21:45:24 +0000,2015-12-09 10:46:01 +0000,2017-10-12 15:43:53 -0600,52461585ed34153dc1470acbf2d43aac9bc81944,logging-log4j2
LOG4J2-2305,2018-07-06 13:11:50 +0000,2018-04-04 19:51:13 +0000,2018-07-05 22:40:43 -0700,6467586f82ebcfa2bf9174bebe755b0c6ce234c3,logging-log4j2
LOG4J2-1215,2015-12-08 20:41:20 +0000,2015-12-08 14:47:33 +0000,2015-12-08 15:20:37 -0500,ad58061e9b54009d3c051e1e25dbc63031492ed9,logging-log4j2
LOG4J2-1457,2016-09-08 15:30:57 +0000,2016-07-06 14:52:42 +0000,2016-09-08 10:30:12 -0500,284067cbdb5f13c41225e22c2a60d79cd43f1383,logging-log4j2
LOG4J2-2304,2018-04-04 17:05:02 +0000,2018-04-04 07:15:57 +0000,2018-04-04 11:04:31 -0600,74942b3bdb447fda6df0f11819fca85f7303c511,logging-log4j2
LOG4J2-2530,2019-01-14 02:53:48 +0000,2019-01-10 15:32:31 +0000,2019-01-13 21:49:06 -0500,a5d245f1dca489044c3cb7d97450e13d7e5a66cf,logging-log4j2
LOG4J2-1440,2016-07-02 20:06:21 +0000,2016-06-20 05:19:45 +0000,2016-07-02 13:03:53 -0700,b0b4f86596302b55d51b1b58f9809ff97fa9e646,logging-log4j2
LOG4J2-1682,2016-11-29 08:28:54 +0000,2016-11-08 12:18:58 +0000,2016-11-29 00:28:08 -0800,2bc846a5067a7414194ac07be6ebf4956295271d,logging-log4j2
