Bug ID,Version Name,SZZu0,SZZu25,SZZu50,SZZu75,SZZu100,Actual
TINKERPOP-903,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-903,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-903,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-903,3.1.0-incubating,No,No,No,No,No,No
TINKERPOP-977,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-977,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-977,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-977,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-977,3.1.1-incubating,No,No,No,No,No,No
TINKERPOP-1002,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1002,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1002,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1002,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1002,3.1.1-incubating,No,No,No,No,No,No
TINKERPOP-1027,3.0.0-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1027,3.0.1-incubating,No,Yes,Yes,Yes,Yes,No
TINKERPOP-1027,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1027,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1027,3.1.1-incubating,No,No,No,No,No,No
TINKERPOP-1025,3.0.0-incubating,No,No,No,No,No,No
TINKERPOP-1025,3.0.1-incubating,No,No,No,No,No,No
TINKERPOP-1025,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1025,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1025,3.1.1-incubating,No,No,No,No,No,No
TINKERPOP-1052,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1052,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1052,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1052,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1052,3.1.1-incubating,No,No,No,No,No,No
TINKERPOP-1060,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1060,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1060,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1060,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1060,3.1.1-incubating,No,No,No,No,No,No
TINKERPOP-1083,3.0.0-incubating,No,Yes,Yes,Yes,Yes,No
TINKERPOP-1083,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1083,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1083,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1083,3.1.1-incubating,No,No,No,No,No,No
TINKERPOP-1089,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1089,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1089,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1089,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1089,3.1.1-incubating,No,No,No,No,No,No
TINKERPOP-997,3.0.0-incubating,No,No,Yes,Yes,Yes,No
TINKERPOP-997,3.0.1-incubating,No,No,Yes,Yes,Yes,No
TINKERPOP-997,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-997,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-997,3.1.1-incubating,No,No,No,No,No,No
TINKERPOP-1119,3.0.0-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1119,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1119,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1119,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1119,3.1.1-incubating,No,No,No,No,No,No
TINKERPOP-1041,3.0.0-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1041,3.0.1-incubating,No,No,Yes,Yes,Yes,No
TINKERPOP-1041,3.0.2-incubating,No,No,Yes,Yes,Yes,Yes
TINKERPOP-1041,3.1.0-incubating,No,No,Yes,Yes,Yes,Yes
TINKERPOP-1041,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1041,3.1.2-incubating,No,No,No,No,No,No
TINKERPOP-1175,3.0.0-incubating,No,No,No,No,No,No
TINKERPOP-1175,3.0.1-incubating,No,No,No,No,No,No
TINKERPOP-1175,3.0.2-incubating,No,No,No,No,No,No
TINKERPOP-1175,3.1.0-incubating,No,No,No,No,No,No
TINKERPOP-1175,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1175,3.1.2-incubating,No,No,No,No,No,No
TINKERPOP-1172,3.0.0-incubating,No,No,Yes,Yes,Yes,No
TINKERPOP-1172,3.0.1-incubating,No,No,Yes,Yes,Yes,No
TINKERPOP-1172,3.0.2-incubating,No,Yes,Yes,Yes,Yes,No
TINKERPOP-1172,3.1.0-incubating,No,Yes,Yes,Yes,Yes,No
TINKERPOP-1172,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1172,3.1.2-incubating,No,No,No,No,No,No
TINKERPOP-1146,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1146,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1146,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1146,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1146,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1146,3.1.2-incubating,No,No,No,No,No,No
TINKERPOP-1217,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1217,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1217,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1217,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1217,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1217,3.1.2-incubating,No,No,No,No,No,No
TINKERPOP-1239,3.0.0-incubating,No,No,No,No,No,No
TINKERPOP-1239,3.0.1-incubating,No,No,No,No,No,No
TINKERPOP-1239,3.0.2-incubating,No,No,No,No,No,No
TINKERPOP-1239,3.1.0-incubating,No,No,No,No,No,No
TINKERPOP-1239,3.1.1-incubating,No,No,No,No,No,Yes
TINKERPOP-1239,3.1.2-incubating,No,No,No,No,No,No
TINKERPOP-1103,3.0.0-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1103,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1103,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1103,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1103,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1103,3.1.2-incubating,No,No,No,No,No,No
TINKERPOP-1251,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1251,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1251,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1251,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1251,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1251,3.1.2-incubating,No,No,No,No,No,No
TINKERPOP-1252,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1252,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1252,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1252,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1252,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1252,3.1.2-incubating,No,No,No,No,No,No
TINKERPOP-1265,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1265,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1265,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1265,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1265,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1265,3.1.2-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1265,3.2.1,No,No,No,No,No,No
TINKERPOP-1284,3.0.0-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1284,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1284,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1284,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1284,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1284,3.1.2-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1284,3.2.1,No,No,No,No,No,No
TINKERPOP-1215,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1215,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1215,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1215,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1215,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1215,3.1.2-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1215,3.2.1,No,No,No,No,No,No
TINKERPOP-1281,3.0.0-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1281,3.0.1-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1281,3.0.2-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1281,3.1.0-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1281,3.1.1-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1281,3.1.2-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1281,3.2.1,No,No,No,No,No,No
TINKERPOP-1242,3.0.0-incubating,No,No,No,No,No,No
TINKERPOP-1242,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1242,3.0.2-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1242,3.1.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1242,3.1.1-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1242,3.1.2-incubating,Yes,Yes,Yes,Yes,Yes,Yes
TINKERPOP-1242,3.2.1,No,No,No,No,No,No
TINKERPOP-1305,3.0.0-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1305,3.0.1-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1305,3.0.2-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1305,3.1.0-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1305,3.1.1-incubating,No,No,No,Yes,Yes,No
TINKERPOP-1305,3.1.2-incubating,No,No,Yes,Yes,Yes,Yes
TINKERPOP-1305,3.2.1,No,No,No,No,No,No
TINKERPOP-1088,3.0.0-incubating,Yes,Yes,Yes,Yes,Yes,No
TINKERPOP-1088,3.0.1-incubating,Yes,Yes,Yes,Yes,Yes,No
