Bug ID,Bug Resolution Date,Classes Touched by Fix,Earliest AV,Version of Ticket Creation,Version of Fix
SYNCOPE-1440,2019-03-04T10:55:51.000+0000,ext/elasticsearch/client-elasticsearch/src/main/java/org/apache/syncope/ext/elasticsearch/client/ElasticsearchClientContext.java|ext/elasticsearch/client-elasticsearch/src/main/java/org/apache/syncope/ext/elasticsearch/client/ElasticsearchUtils.java|ext/elasticsearch/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/ElasticsearchAnySearchDAO.java|ext/elasticsearch/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/ElasticsearchReindex.java|,48,49,49
SYNCOPE-560,2014-10-07T08:36:06.000+0000,console/pom.xml|core/pom.xml|pom.xml|,20,21,21
SYNCOPE-440,2013-11-21T10:09:13.000+0000,core/src/main/java/org/apache/syncope/core/sync/impl/SyncJob.java|,13,15,15
SYNCOPE-561,2014-10-07T09:41:26.000+0000,core/src/main/resources/report/userReportlet2html.xsl|,20,21,21
SYNCOPE-682,2015-07-13T10:51:41.000+0000,core/src/main/java/org/apache/syncope/core/persistence/beans/AccountPolicy.java|core/src/test/java/org/apache/syncope/core/rest/PolicyTestITCase.java|,24,25,25
SYNCOPE-562,2014-10-09T09:50:06.000+0000,core/src/main/java/org/apache/syncope/core/persistence/dao/impl/ConfDAOImpl.java|core/src/test/java/org/apache/syncope/core/notification/NotificationTest.java|,20,21,21
SYNCOPE-683,2015-07-13T10:51:50.000+0000,common/src/main/java/org/apache/syncope/common/to/RoleTO.java|common/src/main/java/org/apache/syncope/common/util/AttributableOperations.java|,24,25,25
SYNCOPE-1443,2019-03-04T12:01:02.000+0000,client/idm/console/src/main/java/org/apache/syncope/client/console/commons/status/AbstractStatusBeanProvider.java|client/idm/console/src/main/java/org/apache/syncope/client/console/status/AnyStatusDirectoryPanel.java|client/idm/console/src/main/java/org/apache/syncope/client/console/status/ResourceStatusDirectoryPanel.java|client/idrepo/console/src/main/java/org/apache/syncope/client/console/commons/Constants.java|,48,49,49
SYNCOPE-684,2015-07-23T08:57:48.000+0000,client/old_console/src/main/java/org/apache/syncope/client/console/pages/EditUserModalPage.java|client/old_console/src/main/java/org/apache/syncope/client/console/pages/UserModalPage.java|client/old_console/src/main/java/org/apache/syncope/client/console/pages/UserSelfModalPage.java|client/old_console/src/main/java/org/apache/syncope/client/console/pages/UserTemplateModalPage.java|client/old_console/src/main/java/org/apache/syncope/client/console/pages/ViewUserModalPage.java|client/old_console/src/main/java/org/apache/syncope/client/console/panels/UserDetailsPanel.java|,24,25,25
SYNCOPE-1321,2018-06-20T12:59:42.000+0000,core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/search/SearchCondVisitor.java|fit/core-reference/src/test/java/org/apache/syncope/fit/core/SearchITCase.java|,43,44,44
