Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
SYNCOPE-1440,2019-03-04 10:55:51 +0000,2019-02-21 09:59:56 +0000,2019-03-04 11:55:18 +0100,8b348db262d4e77285c88df9fe41a93dfabdeb35,syncope
SYNCOPE-560,2014-10-07 08:36:06 +0000,2014-10-07 08:19:36 +0000,2014-10-07 08:35:25 +0000,36425c3974541f8c4b5a6398e272e55ffc638c3b,syncope
SYNCOPE-440,2013-11-21 10:09:13 +0000,2013-11-15 06:33:33 +0000,2013-11-21 10:08:37 +0000,81a069506a0a2607961b4d112575dcf9300aae4b,syncope
SYNCOPE-561,2014-10-07 09:41:26 +0000,2014-10-07 09:02:17 +0000,2014-10-07 09:40:27 +0000,1f9af45636a7b2b147d82b9acb374340a9f694ec,syncope
SYNCOPE-682,2015-07-13 10:51:41 +0000,2015-07-13 09:39:20 +0000,2015-07-13 11:57:49 +0200,f5df7f5cb3f5dfde39c90cbb85fe0971345a8728,syncope
SYNCOPE-562,2014-10-09 09:50:06 +0000,2014-10-08 08:04:45 +0000,2014-10-09 09:49:24 +0000,3400ae9c746b2c6678e9dbfa5bd9ddb509d49dad,syncope
SYNCOPE-683,2015-07-13 10:51:50 +0000,2015-07-13 09:51:17 +0000,2015-07-13 12:02:23 +0200,81a66445f1e7db024a602146e9eb51f44752ea64,syncope
SYNCOPE-1443,2019-03-04 12:01:02 +0000,2019-02-28 15:10:46 +0000,2019-03-04 12:58:36 +0100,4ce9519705ec1654feff660b4992aac9ad6c90d5,syncope
SYNCOPE-684,2015-07-23 08:57:48 +0000,2015-07-23 08:47:24 +0000,2015-07-23 10:55:40 +0200,fe7fa1324dd1ae2815c0161a0c39cfc4e9c8ba97,syncope
SYNCOPE-1321,2018-06-20 12:59:42 +0000,2018-06-11 12:31:19 +0000,2018-06-20 14:54:28 +0200,f888913d14f8c1dd82d2ef553a07015c77a14770,syncope
SYNCOPE-1442,2019-03-04 07:59:54 +0000,2019-02-26 09:37:50 +0000,2019-03-04 08:57:48 +0100,141edff18d7bca4ca681bd0c5bb0fd52f79b7f7a,syncope
SYNCOPE-564,2014-10-23 16:00:11 +0000,2014-10-11 12:05:27 +0000,2014-10-23 17:58:56 +0200,7c714f31c2367a899454b21b121377da5a5874cb,syncope
SYNCOPE-1320,2018-06-01 15:25:02 +0000,2018-06-01 14:23:56 +0000,2018-06-01 17:22:06 +0200,17830e5aa09660be4949589d2c196670a4d57ff7,syncope
SYNCOPE-1206,2017-09-08 13:42:17 +0000,2017-09-08 08:29:49 +0000,2017-09-08 15:41:54 +0200,5295039bb5443114822d288635589f8b24b43609,syncope
SYNCOPE-1448,2019-03-25 13:45:34 +0000,2019-03-11 20:11:49 +0000,2019-03-25 14:43:27 +0100,50469a15b51b99e6b1e52a05626f96e0b9ce6cdd,syncope
SYNCOPE-1205,2017-09-29 12:44:20 +0000,2017-09-08 07:55:40 +0000,2017-09-29 14:43:53 +0200,252285a8c9a0abef28338db22208d0ef79739d77,syncope
SYNCOPE-1326,2018-06-22 15:23:20 +0000,2018-06-22 13:54:03 +0000,2018-06-22 17:21:54 +0200,6a9d557545eb9e35910af4cc32668f649b61cdbe,syncope
SYNCOPE-1447,2019-03-11 14:56:40 +0000,2019-03-11 10:20:19 +0000,2019-03-11 15:56:06 +0100,2bae7c4f54afa85ef3c4c151ba1106fc986f26c4,syncope
