Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
XERCESJ-91,2004-04-13 01:00:17 +0000,2001-12-07 15:15:10 +0000,2005-06-13 21:37:49 +0000,b8f55d6a0bb8104edf575aca174caeea2a27a0ae,xerces2-j
XERCESJ-1080,2007-06-11 02:06:10 +0000,2005-05-13 03:50:12 +0000,2007-06-11 02:00:30 +0000,53db6ac406a3febbcfbd2363f29b83add7dc9eb7,xerces2-j
XERCESJ-1082,2005-06-10 06:14:50 +0000,2005-06-08 23:46:32 +0000,2005-06-09 04:48:32 +0000,ec492baa31293836b79cd621c9e3373c0e015f77,xerces2-j
XERCESJ-1088,2005-07-23 06:48:34 +0000,2005-07-22 17:27:51 +0000,2005-07-22 21:42:26 +0000,ea2f0156ef8b614da4c9c3e0360961f3bdf232b0,xerces2-j
XERCESJ-1089,2005-07-26 03:12:27 +0000,2005-07-22 20:35:17 +0000,2005-07-25 18:04:26 +0000,083f42dfd2bf001b5bc054094b693d40666f2aa5,xerces2-j
XERCESJ-1090,2005-07-25 08:17:12 +0000,2005-07-23 06:42:24 +0000,2005-07-24 22:55:21 +0000,52937e0039e38bd60dc0d8ca36076ceb79426380,xerces2-j
XERCESJ-1094,2005-08-10 02:20:31 +0000,2005-08-09 23:52:53 +0000,2005-08-09 17:13:56 +0000,7080576431608079ed5191e1af2553cd1a17db1e,xerces2-j
XERCESJ-1097,2006-02-27 14:27:00 +0000,2005-09-05 23:33:44 +0000,2005-09-07 02:44:18 +0000,ba95a067185a05be96e93ad19f1db5e942f154d3,xerces2-j
XERCESJ-52,2004-04-13 00:58:17 +0000,2001-10-26 16:32:05 +0000,2004-05-28 19:08:52 +0000,4c1206905ebe89e63e89bbe0c95846f048839107,xerces2-j
XERCESJ-919,2004-08-26 02:18:08 +0000,2004-03-19 01:59:04 +0000,2004-08-26 02:14:41 +0000,7569f1e56b929395f70c2717a33b9ea5e6583d7a,xerces2-j
XERCESJ-916,2005-06-14 06:41:52 +0000,2004-03-16 05:53:07 +0000,2005-06-13 21:37:49 +0000,b8f55d6a0bb8104edf575aca174caeea2a27a0ae,xerces2-j
XERCESJ-809,2010-06-15 21:42:58 +0000,2003-10-20 22:53:12 +0000,2010-06-15 21:01:58 +0000,ca47e35c27abf05dff9c97bc16373a4ea631d0bc,xerces2-j
XERCESJ-923,2004-05-20 14:03:49 +0000,2004-03-22 21:23:33 +0000,2004-04-15 18:38:22 +0000,547c1ab374dfbb93c591854228c625ddd798ceb6,xerces2-j
XERCESJ-68,2004-04-13 00:59:08 +0000,2001-11-24 03:37:51 +0000,2005-11-18 21:10:32 +0000,67c7a45c4317ae24a9a323284999dac82427bb7a,xerces2-j
XERCESJ-926,2004-07-08 22:09:17 +0000,2004-03-25 02:33:04 +0000,2004-07-08 22:02:58 +0000,45ec51a61e14e22e6560098070c726fd8fdf1b56,xerces2-j
XERCESJ-77,2004-04-13 00:59:34 +0000,2001-11-26 09:35:59 +0000,2007-02-23 16:53:57 +0000,8ff5e52a0e39ce14b62e2acf3db2ca5f3bd343c2,xerces2-j
XERCESJ-73,2004-04-13 00:59:25 +0000,2001-11-26 07:51:24 +0000,2005-05-22 19:11:07 +0000,586de9cf87b62c6e5ee3e6cfbc3b5a4b5236f518,xerces2-j
XERCESJ-816,2004-09-22 04:29:59 +0000,2003-10-30 23:14:12 +0000,2004-09-22 04:19:34 +0000,71a74e9c13e51cbe53a58889a482134f9b020a1a,xerces2-j
XERCESJ-815,2005-04-19 12:25:28 +0000,2003-10-30 23:08:48 +0000,2005-04-19 03:18:18 +0000,43d78eb3c3e37e61d6aec63276f96f76d1b3c759,xerces2-j
XERCESJ-84,2004-04-13 00:59:57 +0000,2001-11-28 04:36:56 +0000,2004-07-19 02:22:50 +0000,3e3e368cd1185abddc2fe36b14d83e2dd8d34d64,xerces2-j
XERCESJ-944,2004-04-23 17:26:34 +0000,2004-04-13 22:12:29 +0000,2004-04-23 16:03:50 +0000,45006567ba9ce68ec09e631898b63699c93690de,xerces2-j
XERCESJ-701,2004-11-17 19:07:00 +0000,2003-04-08 04:11:29 +0000,2004-11-17 19:04:50 +0000,7d131bcf7dcf92f1956fe84655dd472f4f814eb1,xerces2-j
XERCESJ-949,2004-07-06 02:32:54 +0000,2004-04-21 21:14:31 +0000,2004-07-05 22:36:53 +0000,84a5095082be9582d924c1e8360e75c657a4a162,xerces2-j
XERCESJ-89,2004-04-13 01:00:14 +0000,2001-12-04 17:45:48 +0000,2004-05-19 19:16:57 +0000,296729aa6b9317eb54898b6806511c04bce747e1,xerces2-j
XERCESJ-948,2004-04-22 20:43:25 +0000,2004-04-20 21:04:38 +0000,2004-04-22 20:39:04 +0000,82adaadf3e9c9c7705874891d284dfa5ac18d582,xerces2-j
XERCESJ-947,2004-07-12 07:06:27 +0000,2004-04-19 07:11:53 +0000,2004-04-26 14:44:56 +0000,2cb7d1ecb92f205137aa4386969857ba014432ce,xerces2-j
XERCESJ-1147,2006-09-12 15:01:57 +0000,2006-03-17 15:41:03 +0000,2006-09-12 14:31:03 +0000,14f499edc46b045a63abad80f32e087b84e91420,xerces2-j
XERCESJ-1389,2009-11-02 21:50:14 +0000,2009-07-31 03:48:58 +0000,2009-11-10 14:59:12 +0000,71b14cea4ef4d31ef77b1bcb424e5e3b98e308ba,xerces2-j
XERCESJ-1266,2007-08-30 20:16:42 +0000,2007-08-30 20:02:23 +0000,2007-08-30 20:16:22 +0000,dc0f7a5edb8a8f2dc87d67c50e572d37443118b6,xerces2-j
XERCESJ-1025,2004-10-28 16:05:00 +0000,2004-10-28 03:58:27 +0000,2004-10-28 06:06:10 +0000,06acbe51f898cfd20bceba9ae8cbd0ca61904aee,xerces2-j
XERCESJ-1149,2006-03-26 07:09:12 +0000,2006-03-23 00:02:49 +0000,2006-03-25 23:05:56 +0000,6ed743d80264b90432b52a29c26fb1e6cbd4d261,xerces2-j
XERCESJ-954,2004-05-06 16:05:20 +0000,2004-05-06 15:22:11 +0000,2004-05-06 16:02:05 +0000,84dae4b7b442a4c8c5faf323f55b782570ed9bdc,xerces2-j
XERCESJ-1260,2007-07-20 20:33:13 +0000,2007-07-20 19:39:54 +0000,2007-07-20 19:51:13 +0000,474d1edc0150fdb5899656363f778627e260e644,xerces2-j
XERCESJ-1385,2009-12-14 04:56:19 +0000,2009-07-17 10:09:39 +0000,2009-12-14 04:54:12 +0000,6c3e940830144ba826e91218385a437b3077b4f1,xerces2-j
XERCESJ-1023,2004-10-22 21:17:11 +0000,2004-10-22 17:16:53 +0000,2004-10-22 21:11:11 +0000,76d3e42bf13d51baa2d64904f1815445ba3a8706,xerces2-j
XERCESJ-1265,2007-08-31 14:28:16 +0000,2007-08-30 15:31:23 +0000,2007-08-31 14:01:58 +0000,ed36b464d4ae85c48fb37db99f9fdff028d1d82a,xerces2-j
XERCESJ-950,2004-07-18 20:09:56 +0000,2004-04-23 19:05:39 +0000,2004-07-18 20:06:41 +0000,8c89c529bbbf68ca1bfa0e356b1aa7f081a8f85b,xerces2-j
XERCESJ-1141,2006-02-26 07:14:58 +0000,2006-02-25 04:47:05 +0000,2006-02-25 22:14:10 +0000,4cf02411a703c5771dfc4304dfda33c1eb105536,xerces2-j
XERCESJ-1021,2006-07-01 03:06:13 +0000,2004-10-19 03:19:05 +0000,2006-06-30 19:55:18 +0000,0dde63af37b11224e5bc46928596405440cd0107,xerces2-j
XERCESJ-1142,2010-05-27 19:10:38 +0000,2006-02-25 05:02:34 +0000,2010-05-27 19:06:12 +0000,3ac348c6044d8ab33d0ce0215610670e95b4033b,xerces2-j
