Index,Version Name,Release Date,Last Commit
1,1.0,2006-11-17T00:00,a7d34dfe1382b32dac299ad55b79b19ce6b286d9
2,2.1.2,2006-11-27T00:00,5de7ccaecd829bc220f2ab6bbf195e777399d875
3,1.1,2007-02-01T00:00,e123671120422f43bbfb566f32084b7f0ec5aacf
4,2.0,2007-04-20T00:00,0bd457839dfb1a9b30f318e8409b7dcc566a11c7
5,2.0.1,2007-05-09T00:00,ecddaff3b621993327302517d70dd0c60255aafa
6,2.1,2007-08-01T00:00,3117d75cc26dd46493687802aea69994de4bafec
7,2.1.1,2007-10-27T00:00,2c2b0ee4d048e72808b07bee8a715f10126eb955
8,2.1.3,2007-12-07T00:00,dee54d09d7032b539353bd66ca79ba72f33dee5a
9,2.2,2008-06-22T00:00,0b50aa6c2cf97030ee541e2952ab83a618ce504a
10,2.2.1,2008-09-09T00:00,4c2b1e92b7ca632b536e8463b8032ed744c3679e
11,2.2.2,2008-11-25T00:00,98efe14f47c52f798fc4d22a008e7ce28969a0be
12,2.2.3,2009-01-12T00:00,de80525d2048c599157486697e71f65b88514b34
13,2.2.4,2009-02-16T00:00,9dac2352946f277431ad878ea6dcfdc226876a37
14,2.2.5,2009-03-25T00:00,17dd647108ef0f46982b6a11eb6945763ca2eebd
15,2.2.6,2009-05-16T00:00,a586536afad0d075be6ccbadac0e13b04d08e884
16,3.0,2009-06-11T00:00,3485112c28ebafaf57b57fda05b2af5dc83d6b67
17,3.0.1,2009-07-03T00:00,06efe6e200ad740547ba5bbd5ad2892767be1eae
18,3.1,2009-12-21T00:00,463e25c6eeec0712c5b7f84de9dcd3c85681f5ec
19,3.1.1,2010-03-19T00:00,e7146ea88893bf9925d315638ab4b83f6de4d237
20,3.1.2,2010-03-27T00:00,ade7fac8f7c7a72d13a1bf16aae15390ed4e9322
21,3.1.3,2010-06-04T00:00,3f613033a2eea59d2c9984de12318dc6e580d31d
22,3.2.0,2010-06-18T00:00,1f476062db392abab00c56e678e5613ad144e413
23,3.2.1,2010-07-01T00:00,01d314f87e366634c568cfe57999a1e24f8eb92c
24,3.2.2,2010-07-29T00:00,4e88319156662f6b1acf3ae89ac7b96fe685d4f2
25,3.2.3,2010-09-11T00:00,31a60e564303ab5e9e587a589b23083991d3db91
26,3.2.4,2010-12-09T00:00,046be91461f3bf1eec86a45b4748c8190012b46e
27,3.2.5,2011-03-04T00:00,8c65540e75f82bc985539468592092184762b723
28,3.3.0,2011-04-16T00:00,ca4aed2600a7d80ecf490b154a572539b2bdba2d
29,3.4.0,2011-04-29T00:00,0509cc9c11f4c45931cdbe71626051b1531a052d
30,3.4.1,2011-12-18T00:00,9e41b9deb85fccd4149b7b1bff2b359037793a05
31,3.4.2,2012-04-26T00:00,b55bba0ff465a8a86e09ee780c71b23ecb2ec361
32,3.4.3,2012-06-15T00:00,f80dc3b41352a88bc6be86c7a4e88c95781b4237
33,3.4.4,2012-06-28T00:00,082c4baec83add4b8a01b3b7eb9a775029061e07
34,3.4.5,2012-10-11T00:00,a5943856215503e5acb15efe0bda7907e48acab6
35,3.5.0,2012-12-21T00:00,e40cd8be0c368486e163507f127f317ac7572b81
36,3.6.0,2013-03-08T00:00,825846c9c8daedbb82b975a6203637dcd6354c89
37,3.7.0,2013-05-17T00:00,d5a1ead5c79a53f2f75e6d72f4c74a2e045fe638
38,3.7.1,2013-07-16T00:00,421891637e2483e99b696c2864e6dd57d2f4d350
39,3.8.0,2013-09-09T00:00,66103dd16416e162a329512034fc46f4fcfd271b
40,3.8.1,2013-09-19T00:00,8c0f341a49f0b67e1f951bfd8fe72708595d18ca
41,3.8.2,2013-12-10T00:00,9d2f8788fbc57f812bf2d1204cd6025bf3eae453
42,3.8.3,2014-07-17T00:00,2e9e0c6ae0c9e4044e6235ce22f43513a458081b
43,3.8.4,2015-02-19T00:00,dfaa7a7c80360aec95a16300e4243b4fbe50b7d3
44,3.9.0,2015-08-14T00:00,78a1417746c2d9e3e3bbe7d7bcc313cec661dec2
45,3.9.1,2015-12-04T00:00,25ae0d1c2396a3e39034b4beb46df4f34b0139eb
46,3.9.2,2016-02-08T00:00,53dffc535c0febcb49674e42f1a0067174fc3d95
47,3.9.3,2016-03-31T00:00,3cd76784c7508de53de5a5b8927093a701e4ef5f
48,3.9.4,2017-02-23T00:00,4d010e12f05fc6283ed9c5558543973b2ba7b0e7
