Index,Version Name,Release Date,Last Commit
1,0.6.0,2007-02-13T00:00,9dbfedac4fcca99c4ce3a3159a71fed8706dbcbc
2,0.7.0,2007-04-06T00:00,35991e60c20772619bc26b072c66faed6c80b839
3,0.8.0,2007-05-04T00:00,4a524c16cd5c4808033db68f5789fc27009f653e
4,0.8.1,2007-07-24T00:00,ce24e6482ce626a7a49dfa43d170cd91537a6b19
5,1.0.0,2007-09-04T00:00,9d0c52355626317b54494fae5463dcfd8d32ca6b
6,1.0.1,2007-09-18T00:00,e03e9b2c21083743496386b6d8aaad7b9a08a15e
7,1.1.0,2008-04-07T00:00,d50e4a0a2f937f5f6eb47150d3163a5c84c3db6a
8,1.2.0,2008-07-25T00:00,5f3cb129f7f77f324912aab2711f5725ae463c97
9,1.3.0,2008-11-24T00:00,8ea385e1d8836615085f0388deed4e894f5f8953
10,1.4.0,2009-04-10T00:00,f34a80b60da3b25d4ff57725ea38a3aad1f2d0d0
11,1.5.0,2009-11-06T00:00,da6eef6f821c202b6f5bab3436e5d0873a7af2df
12,1.5.1,2009-12-02T00:00,4e504f75fa590b6110f933d0337bdc470d0918b9
13,1.5.2,2009-12-14T00:00,00a53d01a83b963c886afda8ede48e88002daf4e
14,1.5.3,2010-04-06T00:00,a75b0e3e545804e6265971c36c7c3606e531b9f6
15,2.0.0-M1 (2.0.0.v20120111),2012-01-18T00:00,8bf039a8f74304fc094e8427bde656febcb3d7c6
16,2.0.0-M2 (2.0.0.v20120127),2012-02-07T00:00,540762f4b131e3abe759b95c4d93dc977036275a
17,2.0.0-M3 (2.0.0.v20120224),2012-02-29T00:00,1d2011c9a04eb1deb7f5d951a7e85adf11533564
18,2.0.0-M4 (2.0.0.v20130125),2013-01-30T00:00,884685ced5c25d831a1ee96ffc40cf57998ec6bc
19,2.0.0-M5 (2.0.0.v20130131),2013-02-12T00:00,7661cdfc0d45eed5c43a7ceaf53430e56da8a64c
20,2.0.0-M6 (2.0.0.v20130308),2013-03-14T00:00,58b8f0d7f7e331f2f4bd52d47b7102f5045756c6
21,2.0.0-M7 (2.0.0.v20130517),2013-05-28T00:00,b56fcc1b4f7fa30a246a76b08b49b2668a44f6f8
22,2.0.0-M8 (2.0.0.v20130628),2013-07-04T00:00,a261dac142374ef735042e4a756e6977ff24df2f
23,2.0.0-M9 (2.0.0.v20150606-M9),2015-06-06T00:00,382d69d30d38f02095b4014af8e5bf6f15ae0bd6
24,2.0.0-M10 (2.0.0.v20151221-M10),2016-01-02T00:00,6102b77a48ee405f9118cddc7d4eac418dd7802f
25,2.0.0-M12,2016-11-01T00:00,23d567d44b4cee97615b70294f95d08c7adb1dad
26,2.0.0-M13,2017-09-04T00:00,3affdb995e29cd6f3bfd8130b0b3386f69b3195a
27,2.0.0-M14,2018-09-08T00:00,9f5440d9470fffe54f42582d354959b92c3a5643
