Index,Version Name,Release Date,Last Commit
1,0.1.2-incubating,2011-07-13T00:00,bf0f45f4589af9ffacf59d64fb7b9b1d972d1e88
2,0.2.0-incubating,2012-02-20T00:00,40e540d8135cb55ce8070f82972d4b3b70dcabd9
3,core-1.0.0,2012-12-24T00:00,17870ebd98980d70773c5970306ff58b8482e6d8
4,security-shiro-1.0.0,2013-01-10T00:00,8e5d15bc20254fe2bb2a0708b6db93d7512e72ea
5,core-1.1.0,2013-01-31T00:00,9999124539fbfde5ffeeac5ab879a5b3d9c212f4
6,core-1.2.0,2013-05-30T00:00,1ba8a4b1fece0937b5d2ed4b647607d503db9760
7,archetype-wrj-1.0.3,2013-05-31T00:00,a4fabe69b78d68d199347b3d0c84c160736ae9ef
8,core-1.3.0,2013-10-25T00:00,c540198e8751fc2fa51279516cb2b05491c43e69
9,viewer-wicket-1.3.1,2013-11-07T00:00,e78ec61e009dd8237ebbe1272d58ebecd8e2022b
10,core-1.4.0,2014-03-11T00:00,204ddbd7770037d340ffefd07404d505505a7a07
11,objectstore-jdo-1.4.1,2014-03-14T00:00,38a7afa9cf15fe6cc5993106789a86477673ec2b
12,core-1.5.0,2014-06-08T00:00,0ed602e63e2c4b5d5fe097823697a93a76f23f86
13,core-1.6.0,2014-07-28T00:00,0af3219129076161143bd388e3fc3ec039cbed79
14,core-1.7.0,2014-10-18T00:00,9d5977ec901fecbeba0488936c813436c7d4fff7
15,core-1.8.0,2015-02-24T00:00,d257b060a3e029ea77391ba95badf731b261cc36
16,Website and Docs,2015-04-01T00:00,10cb91077621c2be6a7dc5abc26297a1ecd06b59
17,1.9.0,2015-09-01T00:00,d88c58fb5ee4bd9d74cd0d5138250a13390db454
18,tidy-up,2015-09-10T00:00,968ef1f1a967beabde259a670987dd009754b053
19,1.10.0,2015-11-10T00:00,f88c0ca9d71244da9635765a138e9e5eee0cabb9
20,1.11.0,2016-01-02T00:00,ab0dc9a943f31fcb504f3ba383f518f0b1d91328
21,1.11.1,2016-01-17T00:00,86a787b64f3a078ee6ce847f78be0426695da495
22,1.12.0,2016-03-29T00:00,1dcb8f9055376f9e257e5201883d3705067a0450
23,1.12.1,2016-04-12T00:00,565ac811905b8e872649d12a7f017061100a94f7
24,1.12.2,2016-06-06T00:00,8399564bcfb4fe9c97f1ea82c31b31f7c91be73f
25,1.13.0,2016-07-11T00:00,3af3ab328e20196c691684fdcc1d07615566a23e
26,1.13.1,2016-10-30T00:00,d37fa6a47181e4b644da23823b27a6dbbda73a66
27,1.13.2,2016-12-14T00:00,43a7fc281b2844905964eb5f83ba9c0f016410e0
28,1.13.2.1,2017-01-03T00:00,1538333c26c0512cf375b21e4c5c2e94b52bbd6f
29,1.14.0,2017-02-19T00:00,08683b07cf437a65df6ef73ddec6b76f391c179a
30,1.15.0,2017-08-14T00:00,d574dfc5b7e48b8773037ea967e56ed96a7847fb
31,1.15.1,2017-09-25T00:00,d9e3e03d24b9c538a7a8ef0ecec1b65a6f637541
32,1.16.0,2018-01-08T00:00,46b98af67d4fcbb8b9e2655e19e54092cb98ce64
33,1.16.1,2018-02-22T00:00,76da622b7d122c5fe6ac11c6be4ca7da6ae4c64e
34,1.16.2,2018-03-05T00:00,8c0deb8c8e3e2068009239554b9c1d62ff89ca0a
35,2.0.0-M1,2018-07-31T00:00,5d9f4f7c89fd621dc9d6d420aa16aef39eb7a4f0
36,1.17.0,2019-01-06T00:00,18fce1d83d495fa1560a1cf083a2294ed4efff68
37,2.0.0-M2,2019-01-22T00:00,51dad14925bea628e88d2ad6d419b3d05ccc180c
