Index,Version Name,Release Date,Last Commit
1,2.0-alpha1,2012-08-05T00:00,ecf64b77827d5c9503490146ff8da12c37560e5f
2,2.0-alpha2,2012-08-23T00:00,1d9ce21e0267857522e92f89d3badad293461f77
3,2.0-beta1,2012-09-21T00:00,64c58457d5d329258fa9ca5945afa9b662b5b357
4,2.0-beta2,2012-10-11T00:00,37cde8295b3183e7468d4ea5fee91738e4f6d1a1
5,2.0-beta3,2012-11-11T00:00,54536bc89efd3e92fddb711ee122c2a3451ef7f3
6,2.0-beta4,2013-01-20T00:00,3133afd7fe98c3bd536bc04adbc9ad1b5730faf3
7,2.0-beta5,2013-04-20T00:00,b7ec6c8adb38fabdbcbdf55c664cdb8de35ce7e5
8,2.0-beta6,2013-05-05T00:00,cc8aa3d5a1aa58bee0fa3a8c1885039210963b14
9,2.0-beta7,2013-06-04T00:00,9dceeb23ce7b8fa9b6bc5e92b26116577aac2ccb
10,2.0-beta8,2013-07-10T00:00,752694707f7093a64b6969c67d8a6124a118fc1e
11,2.0-beta9,2013-09-21T00:00,c0e9ce8e22133fa1fd873bf036de4f5c47f5cbd0
12,2.0-rc1,2014-02-16T00:00,c80992e35453780e0f039502eb8f180791542f98
13,2.0-rc2,2014-06-24T00:00,272e5b1ca8926927ae277ea8d1aeb3244548a69c
14,2.0,2014-07-12T00:00,4231e5190d36b6191c586fae0be4deff82293af8
15,2.0.1,2014-08-05T00:00,9476f57c7416dc222de99098e22d2ea8ce88a93c
16,2.0.2,2014-08-17T00:00,d5dcc32ff470045d0dc66a351cc35d96a01cf3b1
17,2.1,2014-10-23T00:00,9dc77eca50eae108be240b304f98f65fba77f324
18,2.2,2015-02-27T00:00,cb959fde1c4fcd69d876311fd7fb90543d6447f7
19,2.3,2015-05-15T00:00,c5adc863e727582289458880f502629f453d9c58
20,2.4,2015-09-19T00:00,82ddb58995fb3f820ca9b7533c20c6a9242b06fc
21,2.4.1,2015-10-11T00:00,fd5de4efcb62e18cef98263ff9cc1f306a4eb8c9
22,2.5,2015-12-10T00:00,ab194f8ebc1074ef19b70a26585ada38f115a046
23,2.6,2016-05-28T00:00,79708338526a478704afb792cb98df70023b0d24
24,2.6.1,2016-06-05T00:00,482f37f8a3f86bb8e9ec84bce8ea8757ca8f9760
25,2.6.2,2016-07-10T00:00,5bed20e216fdc5391dd013ca719854cc194c177a
26,2.7,2016-10-06T00:00,1e322e4f2b51dc72f12eafea9e12335c65f59e59
27,2.8,2017-01-25T00:00,2cc580f00e290a01048fce9868d5ae9fe906c881
28,2.8.1,2017-02-25T00:00,180e7e134aa165d5a43ae6ab04501021907b3bb4
29,2.8.2,2017-04-04T00:00,6499f5d47654771f4ea770f168f55d7a07d81c13
30,11.0,2017-07-24T00:00,7e1f7fb32047d283c954befa8c058abbad1bf8b3
31,2.9.0,2017-08-31T00:00,db66cf2dc6ad52a593fd256cc81bf8edd03f234d
32,2.9.1,2017-09-20T00:00,9662274e2ad2b8805f0a98ca084ba98e88eb2bc0
33,2.10.0,2017-11-24T00:00,211326b32450cd71282c4328378d51a85d20c6c2
34,2.11.0,2018-03-15T00:00,9ed183774830b53927e871e303272276cb835603
35,Log4j-Audit 1.0.0,2018-06-10T00:00,40d9b504a9cc2593a19ab9c487eb5c873937ca75
36,2.11.1,2018-07-22T00:00,53fac8e80f299de141a5481a54b6198662e807ae
37,Log4j-Audit 1.0.1,2018-12-13T00:00,9abb6b00d25fb9c416b467fdb1dfe0293b76bf80
38,2.11.2,2019-02-04T00:00,96e8e1ec7be4d13ca7a8aaa61a7485ae0abe1798
