Index,Version Name,Release Date,Last Commit
1,1.2.2,2006-08-27T00:00,c2c541888c3ca303c5d4657adabcfc5cc800a71f
2,1.2.3,2006-10-31T00:00,4d41105f5a3ccc92080374db782b01267e482251
3,1.2.4,2006-12-24T00:00,09ad68574c2378f15e402c484d4b3301c2188545
4,1.2.5,2007-02-09T00:00,ba7bf14b2797e9ab80d26aa374c63ff5f26d4db9
5,1.2.6,2007-04-22T00:00,7a8bf5120fa43d0d8af13bd44dc10226add8f9e7
6,1.3.0-beta1,2007-05-02T00:00,7e49cbf9348f4318806778151c337af2c656a3b6
7,1.3.0-beta2,2007-06-25T00:00,179d1b81563bf9b5bde6ad46a5aff7583e87db6a
8,1.3.0-beta3,2007-08-28T00:00,bcae92f72ad064c8a852233a81adcd24886d1f04
9,1.3.0-beta4,2007-10-10T00:00,4991bce98f8ee5a018acb4499a81d8f76c361c20
10,1.3.0-rc1,2007-11-11T00:00,a4e72ab3f844b232f3214a5a19deb9c27eb323b6
11,1.3.0-rc2,2007-12-13T00:00,67b2fc89b3ce5102d4ebad69d0c11c5c3a1e4cc5
12,1.3.0-final,2008-01-02T00:00,d043a8db1ddd21eba441a610a08f140899c08cf7
13,1.3.1,2008-02-05T00:00,ad1679547a34353ebf0d560c20f4b2e8346e6b4e
14,1.3.2,2008-03-13T00:00,fed6a85805b291f050f3c107a371e4239a1a01b6
15,1.2.7,2008-03-23T00:00,8468de343669cdd482f41359acaaadc6ae4d5653
16,1.3.3,2008-04-06T00:00,2b341c414752a73a94f4943b19c51f01e682a201
17,1.4-M1,2008-05-02T00:00,2e7dbaf199622b7f4cdfa51f800d0eaf14c82288
18,1.4-M2,2008-06-02T00:00,9ba66172e5e91d9306d773cf2bf662fa77f97167
19,1.3.4,2008-06-26T00:00,48edeee986203fedb41f5199b46ae0acde71ec75
20,1.4-M3,2008-07-14T00:00,21f97fecb8707082394223e00f61fe6102c26899
21,1.3.5,2008-10-18T00:00,1856f44a7e8c7a4b1f2e17d8f12675912fe7ecf0
22,1.4-RC1,2008-11-13T00:00,59b1b3a29959d17629b0e0caed6e0e5ec44e49a2
23,1.4-RC2,2009-02-06T00:00,ceac38b140de7b7ce03f10e30107980b31b57bea
24,1.3.6,2009-05-03T00:00,c454713d0b9258bfcbf6368eb081e1d04e3251b0
25,1.4-RC4,2009-05-11T00:00,152552ef791481e0eded1f5159db7c53acc718a6
26,1.4-RC5,2009-06-07T00:00,bfaca62009092f2af252b7b7350e86b502a72284
27,1.4-RC6,2009-06-29T00:00,3258493eeaf327d247a8126592a2b1fce9c26b47
