Index,Version ID,Version Name,Date
1,10672,2.0.0 [alpha],2000-12-08T00:00
2,10673,2.0.0 [beta],2001-08-10T00:00
3,10674,2.0.0 [beta 2],2001-08-24T00:00
4,10675,2.0.0 [beta 3],2001-10-29T00:00
5,10676,2.0.0 [beta 4],2001-12-18T00:00
6,10677,2.0.0,2002-01-30T00:00
7,10678,2.0.1,2002-03-04T00:00
8,10679,2.0.2,2002-06-21T00:00
9,10680,2.1.0,2002-08-28T00:00
10,10681,2.2.0,2002-09-26T00:00
11,10682,2.2.1,2002-11-12T00:00
12,10683,2.3.0,2003-01-27T00:00
13,10684,2.4.0,2003-03-27T00:00
14,10685,2.5.0,2003-07-31T00:00
15,10686,2.6.0,2003-11-21T00:00
16,10687,2.6.1,2004-02-06T00:00
17,10688,2.6.2,2004-02-20T00:00
18,12310153,2.7.0,2005-06-24T00:00
19,12310190,2.7.1,2005-07-26T00:00
20,12310842,2.8.0,2006-03-01T00:00
21,12312050,2.8.1,2006-09-13T00:00
22,12312170,2.9.0,2006-11-22T00:00
23,12312696,2.9.1,2007-09-14T00:00
24,12314400,2.10.0,2010-06-18T00:00
25,12315151,2.11.0,2010-11-30T00:00
26,12336542,2.12.0,2018-04-30T00:00
