Bug ID,Bug Resolution Date,Classes Touched by Fix,Earliest AV,Version of Ticket Creation,Version of Fix
XERCESJ-6,2004-04-13T00:55:57.000+0000,src/org/apache/xerces/impl/dtd/DTDGrammar.java|,1,2,20
XERCESJ-7,2004-04-13T00:56:00.000+0000,src/org/apache/xerces/impl/xs/models/CMBuilder.java|src/org/apache/xerces/impl/xs/models/CMNodeFactory.java|src/org/apache/xerces/impl/xs/models/XSCMRepeatingLeaf.java|src/org/apache/xerces/impl/xs/models/XSDFACM.java|,1,2,23
XERCESJ-11,2004-04-13T00:56:10.000+0000,src/org/apache/xerces/jaxp/validation/XMLSchemaValidatorComponentManager.java|,1,2,24
XERCESJ-12,2004-04-13T00:56:12.000+0000,docs/install.xml|,1,2,24
XERCESJ-13,2004-04-13T00:56:20.000+0000,src/org/apache/xerces/impl/xpath/regex/RegularExpression.java|,1,2,24
XERCESJ-14,2004-04-13T00:56:22.000+0000,src/org/apache/xerces/dom/ParentNode.java|,1,2,26
XERCESJ-16,2004-04-13T00:56:27.000+0000,docs/xml-schema.xml|,1,2,26
XERCESJ-52,2004-04-13T00:58:17.000+0000,src/org/apache/html/dom/HTMLFormElementImpl.java|src/org/apache/html/dom/HTMLMapElementImpl.java|src/org/apache/html/dom/HTMLSelectElementImpl.java|src/org/apache/html/dom/HTMLTableElementImpl.java|src/org/apache/html/dom/HTMLTableRowElementImpl.java|src/org/apache/html/dom/HTMLTableSectionElementImpl.java|,2,4,18
XERCESJ-68,2004-04-13T00:59:08.000+0000,src/org/apache/xerces/impl/xs/XMLSchemaValidator.java|,4,5,20
XERCESJ-73,2004-04-13T00:59:25.000+0000,src/org/apache/xml/serialize/EncodingInfo.java|,3,5,18
XERCESJ-77,2004-04-13T00:59:34.000+0000,src/org/apache/xerces/impl/xs/models/CMBuilder.java|src/org/apache/xerces/impl/xs/models/CMNodeFactory.java|src/org/apache/xerces/impl/xs/models/XSCMRepeatingLeaf.java|src/org/apache/xerces/impl/xs/models/XSDFACM.java|,3,5,23
XERCESJ-84,2004-04-13T00:59:57.000+0000,src/org/apache/xerces/xinclude/XIncludeHandler.java|,4,5,18
XERCESJ-89,2004-04-13T01:00:14.000+0000,src/org/apache/xerces/dom/AttrImpl.java|src/org/apache/xerces/dom/ParentNode.java|,4,5,18
XERCESJ-91,2004-04-13T01:00:17.000+0000,src/org/apache/xerces/parsers/DOMParserImpl.java|src/org/apache/xml/serialize/DOMSerializerImpl.java|,4,5,18
XERCESJ-100,2004-04-13T01:00:46.000+0000,src/org/apache/xml/serialize/DOMSerializerImpl.java|,5,6,20
XERCESJ-107,2004-04-13T01:01:09.000+0000,src/org/apache/xerces/impl/dv/xs/XSSimpleTypeDecl.java|,5,6,23
XERCESJ-108,2004-04-13T01:01:12.000+0000,src/org/apache/xerces/impl/xs/XMLSchemaValidator.java|,5,6,24
XERCESJ-114,2004-04-13T01:01:31.000+0000,src/org/apache/xerces/jaxp/validation/XMLSchemaValidatorComponentManager.java|,5,6,24
XERCESJ-116,2004-04-13T01:01:36.000+0000,src/org/apache/xerces/impl/XMLDocumentScannerImpl.java|,5,6,21
XERCESJ-117,2004-04-13T01:01:39.000+0000,src/org/apache/xerces/util/EncodingMap.java|,5,6,21
XERCESJ-118,2004-04-13T01:01:47.000+0000,src/org/apache/xerces/impl/xs/traversers/XSDHandler.java|,5,6,24
XERCESJ-120,2004-04-13T01:01:52.000+0000,src/org/apache/xerces/dom/DOMConfigurationImpl.java|,5,6,23
XERCESJ-123,2004-04-13T01:01:59.000+0000,src/org/apache/xerces/impl/dv/xs/XSSimpleTypeDecl.java|,5,6,23
XERCESJ-124,2004-04-13T01:02:02.000+0000,src/org/apache/xerces/dom/AttrImpl.java|src/org/apache/xerces/dom/AttrNSImpl.java|src/org/apache/xerces/dom/ElementNSImpl.java|,5,6,24
XERCESJ-125,2004-04-13T01:02:04.000+0000,src/org/apache/xerces/impl/io/UTF8Reader.java|,2,6,23
XERCESJ-126,2004-04-13T01:02:13.000+0000,src/org/apache/xerces/impl/xpath/regex/ParserForXMLSchema.java|,5,6,23
XERCESJ-132,2004-04-13T01:02:29.000+0000,src/org/apache/xerces/impl/xpath/regex/RegularExpression.java|,5,6,24
XERCESJ-133,2004-04-13T01:02:31.000+0000,src/org/apache/xerces/dom/PSVIAttrNSImpl.java|src/org/apache/xerces/dom/PSVIElementNSImpl.java|src/org/apache/xerces/impl/XMLErrorReporter.java|src/org/apache/xerces/impl/xs/AttributePSVImpl.java|src/org/apache/xerces/impl/xs/ElementPSVImpl.java|src/org/apache/xerces/impl/xs/PSVIErrorList.java|src/org/apache/xerces/impl/xs/XMLSchemaValidator.java|src/org/apache/xerces/xs/ItemPSVI.java|,5,6,24
XERCESJ-134,2004-04-13T01:02:39.000+0000,src/org/apache/xerces/impl/xs/util/XSNamedMap4Types.java|,5,6,24
XERCESJ-135,2004-04-13T01:02:42.000+0000,src/org/apache/xerces/impl/xpath/regex/RegularExpression.java|,1,6,24
XERCESJ-136,2004-04-13T01:02:44.000+0000,src/org/apache/xerces/xni/XNIException.java|,5,6,24
XERCESJ-137,2004-04-13T01:02:47.000+0000,src/org/apache/xerces/impl/xs/XMLSchemaValidator.java|,5,6,24
XERCESJ-138,2004-04-13T01:02:49.000+0000,src/org/apache/xerces/dom/ProcessingInstructionImpl.java|,5,6,24
